2021-01-22 17:02:02,181 INFO  [Log] Test called: Testing the authentication has started 
2021-01-22 17:02:09,631 INFO  [Log] Navigating to http://automationpractice.com 
2021-01-22 17:02:14,147 INFO  [DefaultTestContextBootstrapper] Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2021-01-22 17:02:14,148 INFO  [DefaultTestContextBootstrapper] Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext] 
2021-01-22 17:02:14,148 INFO  [DefaultTestContextBootstrapper] Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource] 
2021-01-22 17:02:14,149 INFO  [DefaultTestContextBootstrapper] Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute] 
2021-01-22 17:02:14,149 INFO  [DefaultTestContextBootstrapper] Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@352ed70d, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@70730db, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5793b87] 
2021-01-22 17:02:14,149 INFO  [DefaultListableBeanFactory] Replacing scope 'cucumber-glue' from [cucumber.runtime.java.spring.GlueCodeScope@1852a3ff] to [cucumber.runtime.java.spring.GlueCodeScope@512575e9] 
2021-01-22 17:02:19,430 INFO  [Log] Test called: Testing the purchase of two items has started 
2021-06-17 11:32:32,018 INFO  [Log] Test called: Testing the authentication has started 
2021-06-17 11:32:46,919 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-06-17 11:33:21,435 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@5032714f: startup date [Thu Jun 17 11:32:28 CEST 2021]; root of context hierarchy 
2021-06-17 11:36:43,201 INFO  [Log] Test called: Testing the authentication has started 
2021-06-17 11:36:56,869 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-06-17 11:37:19,011 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@5032714f: startup date [Thu Jun 17 11:36:40 CEST 2021]; root of context hierarchy 
2021-06-17 11:56:51,766 INFO  [Log] Test called: Testing the authentication has started 
2021-06-17 11:56:52,484 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-06-17 11:57:14,483 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@5032714f: startup date [Thu Jun 17 11:56:48 CEST 2021]; root of context hierarchy 
2021-06-17 11:57:24,557 INFO  [Log] Test called: Testing the authentication has started 
2021-06-17 11:57:38,714 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-06-17 11:58:57,521 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@5032714f: startup date [Thu Jun 17 11:57:21 CEST 2021]; root of context hierarchy 
2021-06-23 09:26:55,184 INFO  [Log] Test called: Testing the authentication has started 
2021-06-23 09:26:58,437 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-06-23 09:27:02,640 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@5032714f: startup date [Wed Jun 23 09:26:52 CEST 2021]; root of context hierarchy 
2021-06-30 15:13:26,807 INFO  [Log] Test called: Testing the authentication has started 
2021-06-30 15:13:33,694 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-06-30 15:55:23,205 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@7d900ecf: startup date [Wed Jun 30 15:13:23 CEST 2021]; root of context hierarchy 
2021-07-02 13:48:45,200 INFO  [Log] Test called: Testing the authentication has started 
2021-07-02 13:48:48,864 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-07-02 13:48:54,972 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@5032714f: startup date [Fri Jul 02 13:48:42 CEST 2021]; root of context hierarchy 
2021-07-02 13:49:03,684 INFO  [Log] Test called: Testing the authentication has started 
2021-07-02 13:49:07,138 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-07-02 13:50:54,455 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@7d900ecf: startup date [Fri Jul 02 13:49:00 CEST 2021]; root of context hierarchy 
2021-07-02 13:51:01,266 INFO  [Log] Test called: Testing the authentication has started 
2021-07-02 13:51:04,664 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-07-02 13:51:19,655 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@5032714f: startup date [Fri Jul 02 13:50:58 CEST 2021]; root of context hierarchy 
2021-07-02 13:51:39,931 INFO  [Log] Test called: Testing the authentication has started 
2021-07-02 13:51:43,306 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-07-02 13:51:56,748 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@5032714f: startup date [Fri Jul 02 13:51:37 CEST 2021]; root of context hierarchy 
2021-07-02 13:52:06,660 INFO  [Log] Test called: Testing the authentication has started 
2021-07-02 13:52:10,703 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-07-02 13:52:28,663 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@5032714f: startup date [Fri Jul 02 13:52:03 CEST 2021]; root of context hierarchy 
2021-07-02 14:17:00,934 INFO  [Log] Test called: Testing the authentication has started 
2021-07-02 14:17:04,350 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-07-02 14:17:20,769 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@5032714f: startup date [Fri Jul 02 14:16:58 CEST 2021]; root of context hierarchy 
2021-07-02 14:23:59,138 INFO  [Log] Test called: Testing the authentication has started 
2021-07-02 14:24:02,647 INFO  [Log] INFO: Navigating to http://automationpractice.com 
2021-07-02 14:24:20,820 INFO  [GenericApplicationContext] Closing org.springframework.context.support.GenericApplicationContext@5032714f: startup date [Fri Jul 02 14:23:56 CEST 2021]; root of context hierarchy 
